rating_id,trip_id,rider_rating_for_driver,driver_rating_for_rider,feedback_text
321,321,3,4,Driver was very polite
322,322,5,4,Car could be cleaner
323,323,4,4,
325,325,5,4,Took a longer route than expected
329,329,,,Smooth trip
331,331,5,5,Car could be cleaner
332,332,5,3,Smooth trip
333,333,5,4,Took a longer route than expected
334,334,,,A bit late to pickup
335,335,,,Smooth trip
337,337,5,4,
338,338,5,5,Driver was very polite
339,339,5,5,
340,340,4,4,
341,341,,,Took a longer route than expected
342,342,5,5,Excellent service
343,343,4,4,Driver was very polite
344,344,4,4,
345,345,4,5,Smooth trip
347,347,5,4,
348,348,5,5,Took a longer route than expected
349,349,5,4,
350,350,,,"Great ride, on time!"
351,351,4,5,
352,352,,,
353,353,4,4,
354,354,5,4,Smooth trip
355,355,,,Smooth trip
357,357,,,A bit late to pickup
358,358,5,5,Car could be cleaner
359,359,5,5,"Great ride, on time!"
361,361,4,5,
362,362,4,4,"Great ride, on time!"
363,363,4,5,
364,364,4,4,Excellent service
365,365,4,4,Smooth trip
366,366,5,4,
368,368,3,5,Car could be cleaner
369,369,,,Smooth trip
370,370,,,
371,371,,,Excellent service
373,373,5,4,
374,374,5,4,
375,375,4,5,
376,376,4,4,
377,377,4,5,
378,378,5,4,A bit late to pickup
379,379,5,5,Smooth trip
380,380,,,Driver was very polite
381,381,4,5,Smooth trip
382,382,4,5,
383,383,4,5,
384,384,,,"Great ride, on time!"
385,385,5,4,Smooth trip
386,386,4,5,A bit late to pickup
387,387,4,5,A bit late to pickup
388,388,4,4,
390,390,4,5,Smooth trip
391,391,3,5,
392,392,,,Smooth trip
393,393,,,"Great ride, on time!"
394,394,4,4,
395,395,4,4,
396,396,5,5,
402,402,3,4,Driver was very polite
403,403,,,"Great ride, on time!"
404,404,5,5,Smooth trip
405,405,4,4,
406,406,4,5,Excellent service
407,407,,,Took a longer route than expected
409,409,,,Smooth trip
410,410,4,5,
415,415,,,
416,416,5,4,
417,417,4,5,Took a longer route than expected
418,418,,,"Great ride, on time!"
419,419,4,5,Took a longer route than expected
420,420,5,4,Excellent service
421,421,5,4,"Great ride, on time!"
422,422,,,"Great ride, on time!"
423,423,4,5,A bit late to pickup
424,424,5,5,A bit late to pickup
426,426,5,3,
427,427,5,4,Excellent service
428,428,4,4,
429,429,3,5,Driver was very polite
430,430,4,4,
431,431,4,4,Smooth trip
432,432,5,4,Took a longer route than expected
433,433,5,5,
434,434,4,4,
435,435,5,5,"Great ride, on time!"
436,436,4,4,Smooth trip
437,437,5,4,Driver was very polite
439,439,5,4,
440,440,4,5,Driver was very polite
441,441,3,4,Excellent service
442,442,,,Smooth trip
444,444,5,5,
445,445,5,5,
446,446,4,5,Driver was very polite
448,448,4,5,Smooth trip
449,449,4,4,Driver was very polite
450,450,4,4,"Great ride, on time!"
451,451,5,5,Excellent service
452,452,3,5,
453,453,,,A bit late to pickup
454,454,5,5,"Great ride, on time!"
455,455,4,5,Took a longer route than expected
457,457,3,4,
458,458,4,5,"Great ride, on time!"
459,459,,,
460,460,4,5,
461,461,5,5,A bit late to pickup
462,462,4,4,"Great ride, on time!"
463,463,4,4,
464,464,5,4,Driver was very polite
466,466,5,5,A bit late to pickup
467,467,5,4,Driver was very polite
468,468,4,5,
469,469,5,4,Car could be cleaner
470,470,5,5,Smooth trip
471,471,4,4,
472,472,,,"Great ride, on time!"
473,473,4,4,"Great ride, on time!"
474,474,4,5,A bit late to pickup
476,476,,,Excellent service
478,478,,,Smooth trip
479,479,4,4,Took a longer route than expected
482,482,4,5,Smooth trip
483,483,,,
484,484,5,5,"Great ride, on time!"
485,485,4,4,
486,486,5,5,Took a longer route than expected
487,487,4,4,"Great ride, on time!"
489,489,3,4,A bit late to pickup
490,490,5,4,Took a longer route than expected
491,491,5,5,
492,492,5,5,Smooth trip
493,493,,,Driver was very polite
494,494,,,
495,495,,,Car could be cleaner
496,496,5,5,"Great ride, on time!"
497,497,3,5,A bit late to pickup
498,498,4,5,Car could be cleaner
499,499,5,5,Driver was very polite
500,500,5,5,Car could be cleaner
501,501,4,3,Driver was very polite
502,502,5,4,"Great ride, on time!"
503,503,,,"Great ride, on time!"
504,504,5,3,Excellent service
505,505,4,5,
506,506,4,5,Driver was very polite
507,507,4,5,Car could be cleaner
508,508,5,5,Driver was very polite
509,509,5,5,
512,512,,,"Great ride, on time!"
513,513,5,5,Car could be cleaner
514,514,5,5,A bit late to pickup
515,515,5,4,Smooth trip
516,516,,,Took a longer route than expected
517,517,4,4,Car could be cleaner
518,518,4,3,
519,519,4,4,"Great ride, on time!"
520,520,,,
521,521,4,4,Driver was very polite
522,522,3,4,
523,523,4,4,A bit late to pickup
524,524,5,5,Driver was very polite
525,525,4,4,Car could be cleaner
526,526,4,5,
527,527,,,Took a longer route than expected
529,529,5,5,
530,530,,,
531,531,5,4,
533,533,5,5,Excellent service
536,536,,,Excellent service
537,537,4,5,Car could be cleaner
539,539,5,5,
540,540,4,5,Driver was very polite
541,541,4,4,Smooth trip
542,542,5,4,A bit late to pickup
543,543,5,5,Car could be cleaner
544,544,4,4,
546,546,4,5,Smooth trip
547,547,5,4,Driver was very polite
548,548,3,5,
549,549,3,5,Driver was very polite
550,550,4,4,
551,551,5,5,Took a longer route than expected
552,552,,,Took a longer route than expected
553,553,4,5,Driver was very polite
554,554,4,5,Smooth trip
556,556,4,5,"Great ride, on time!"
557,557,4,5,Excellent service
558,558,5,5,
559,559,5,5,Took a longer route than expected
560,560,3,5,A bit late to pickup
561,561,5,4,"Great ride, on time!"
562,562,5,4,Excellent service
564,564,4,4,
569,569,4,5,Took a longer route than expected
570,570,4,5,
571,571,5,5,"Great ride, on time!"
572,572,4,5,Smooth trip
574,574,5,4,Car could be cleaner
576,576,4,4,
577,577,4,4,Took a longer route than expected
578,578,4,4,"Great ride, on time!"
579,579,,,Took a longer route than expected
581,581,4,5,Driver was very polite
583,583,,,Driver was very polite
584,584,4,5,Excellent service
585,585,,,Smooth trip
586,586,4,5,Smooth trip
587,587,5,4,
589,589,5,4,
590,590,4,4,Car could be cleaner
592,592,4,3,Car could be cleaner
593,593,4,4,"Great ride, on time!"
594,594,4,5,
596,596,5,4,Car could be cleaner
598,598,4,4,Driver was very polite
599,599,4,5,
600,600,5,4,Driver was very polite
601,601,3,3,
602,602,5,4,"Great ride, on time!"
603,603,4,5,Took a longer route than expected
604,604,5,4,Smooth trip
605,605,3,4,
606,606,4,5,
607,607,,,A bit late to pickup
608,608,3,5,
609,609,5,3,
610,610,4,5,
611,611,4,5,A bit late to pickup
612,612,,,A bit late to pickup
613,613,4,3,
614,614,,,Driver was very polite
615,615,4,5,Car could be cleaner
616,616,4,3,Took a longer route than expected
617,617,4,4,Car could be cleaner
618,618,5,4,
620,620,4,4,Excellent service
621,621,5,5,
624,624,5,4,"Great ride, on time!"
625,625,5,5,Excellent service
626,626,4,4,
627,627,4,4,"Great ride, on time!"
628,628,4,4,Excellent service
629,629,4,5,
630,630,5,5,"Great ride, on time!"
631,631,5,5,Car could be cleaner
632,632,4,5,"Great ride, on time!"
633,633,5,5,Took a longer route than expected
634,634,5,5,
635,635,4,5,"Great ride, on time!"
637,637,3,5,"Great ride, on time!"
638,638,,,
640,640,4,5,
642,642,4,4,
643,643,4,4,Car could be cleaner
644,644,5,5,A bit late to pickup
646,646,4,3,Driver was very polite
649,649,4,5,Excellent service
650,650,5,5,Took a longer route than expected
651,651,4,4,Car could be cleaner
652,652,4,5,Excellent service
653,653,5,5,A bit late to pickup
655,655,5,5,Car could be cleaner
656,656,2,4,
658,658,4,5,"Great ride, on time!"
662,662,5,4,
663,663,5,4,
664,664,4,4,Car could be cleaner
665,665,4,5,Driver was very polite
666,666,,,
667,667,4,5,Car could be cleaner
668,668,5,5,"Great ride, on time!"
669,669,5,4,Car could be cleaner
671,671,5,5,
672,672,,,Driver was very polite
673,673,5,5,
674,674,5,5,
678,678,5,5,Took a longer route than expected
682,682,3,5,"Great ride, on time!"
683,683,5,5,Took a longer route than expected
684,684,5,5,Driver was very polite
685,685,4,5,Smooth trip
686,686,4,5,"Great ride, on time!"
688,688,3,4,Took a longer route than expected
689,689,4,4,
690,690,,,
691,691,5,4,
692,692,5,5,
694,694,,,Excellent service
695,695,4,4,Smooth trip
696,696,,,Smooth trip
697,697,4,4,A bit late to pickup
700,700,4,4,Smooth trip
701,701,,,Took a longer route than expected
702,702,5,5,Driver was very polite
703,703,,,A bit late to pickup
704,704,3,5,
705,705,,,"Great ride, on time!"
706,706,4,4,A bit late to pickup
707,707,5,5,Driver was very polite
708,708,4,4,"Great ride, on time!"
709,709,4,3,Car could be cleaner
710,710,5,4,Excellent service
712,712,4,4,A bit late to pickup
714,714,,,Driver was very polite
716,716,4,5,Driver was very polite
719,719,5,4,Driver was very polite
721,721,4,4,
722,722,,,
723,723,5,5,Car could be cleaner
724,724,5,5,"Great ride, on time!"
725,725,,,
726,726,5,4,"Great ride, on time!"
728,728,,,
729,729,5,5,
733,733,4,4,Smooth trip
734,734,4,4,Excellent service
736,736,4,4,"Great ride, on time!"
737,737,3,5,
738,738,4,4,"Great ride, on time!"
739,739,5,4,Car could be cleaner
740,740,5,5,"Great ride, on time!"
741,741,5,5,
742,742,3,4,A bit late to pickup
743,743,5,5,Car could be cleaner
745,745,4,5,Car could be cleaner
746,746,,,Driver was very polite
747,747,5,5,Driver was very polite
748,748,4,4,Took a longer route than expected
749,749,,,Excellent service
750,750,5,5,
752,752,4,4,"Great ride, on time!"
753,753,,,Driver was very polite
754,754,4,4,Excellent service
755,755,5,5,"Great ride, on time!"
756,756,5,5,Took a longer route than expected
757,757,5,4,
758,758,4,4,
759,759,,,Took a longer route than expected
760,760,,,
761,761,5,4,Excellent service
763,763,4,4,Car could be cleaner
764,764,5,5,A bit late to pickup
765,765,5,5,Excellent service
766,766,,,Excellent service
769,769,4,4,Took a longer route than expected
770,770,4,4,Excellent service
774,774,5,4,
775,775,4,5,"Great ride, on time!"
776,776,,,
777,777,4,4,
779,779,5,4,Excellent service
782,782,4,4,Excellent service
783,783,3,4,
784,784,,,Took a longer route than expected
785,785,3,5,Smooth trip
786,786,4,4,
787,787,5,4,Took a longer route than expected
788,788,5,4,Car could be cleaner
789,789,5,5,
790,790,4,4,"Great ride, on time!"
792,792,5,5,
793,793,3,4,Driver was very polite
794,794,4,4,
796,796,,,Driver was very polite
799,799,5,4,
800,800,4,4,A bit late to pickup
801,801,5,5,A bit late to pickup
802,802,5,4,A bit late to pickup
803,803,,,
804,804,4,4,Driver was very polite
807,807,,,Took a longer route than expected
808,808,5,5,
809,809,5,5,Driver was very polite
810,810,5,4,Driver was very polite
813,813,,,A bit late to pickup
814,814,,,
817,817,5,4,
818,818,5,3,
819,819,5,5,"Great ride, on time!"
822,822,5,4,A bit late to pickup
823,823,4,5,
824,824,4,5,Car could be cleaner
825,825,4,4,Excellent service
826,826,5,4,Excellent service
827,827,,,Driver was very polite
828,828,4,5,
829,829,3,5,"Great ride, on time!"
830,830,4,4,Took a longer route than expected
831,831,5,3,
833,833,4,4,Excellent service
835,835,4,4,Car could be cleaner
836,836,,,Took a longer route than expected
837,837,5,5,Car could be cleaner
838,838,4,4,"Great ride, on time!"
841,841,5,3,
843,843,5,4,Smooth trip
844,844,4,5,Took a longer route than expected
845,845,5,4,
846,846,,,Excellent service
847,847,4,5,Smooth trip
848,848,,,Excellent service
850,850,5,4,Excellent service
851,851,5,3,Smooth trip
852,852,4,5,
854,854,,,A bit late to pickup
856,856,5,5,Took a longer route than expected
857,857,5,4,Driver was very polite
858,858,4,5,Took a longer route than expected
859,859,5,4,A bit late to pickup
860,860,4,4,Excellent service
861,861,,,
862,862,5,4,Smooth trip
863,863,,,"Great ride, on time!"
864,864,4,4,
865,865,,,"Great ride, on time!"
866,866,5,4,
868,868,4,5,Smooth trip
869,869,4,4,
871,871,4,5,"Great ride, on time!"
872,872,5,4,A bit late to pickup
873,873,4,4,Excellent service
874,874,4,5,Driver was very polite
875,875,4,4,A bit late to pickup
876,876,,,Smooth trip
878,878,,,Excellent service
879,879,4,4,Car could be cleaner
881,881,5,4,
882,882,5,5,Excellent service
883,883,3,5,
884,884,4,5,Car could be cleaner
885,885,4,5,Smooth trip
886,886,4,4,Car could be cleaner
887,887,4,5,Excellent service
889,889,4,5,Took a longer route than expected
890,890,3,4,
892,892,3,5,Car could be cleaner
893,893,5,4,Driver was very polite
894,894,4,4,
895,895,5,4,A bit late to pickup
896,896,4,5,
897,897,4,4,
899,899,3,4,Smooth trip
900,900,,,
901,901,4,3,Smooth trip
902,902,5,4,A bit late to pickup
903,903,5,5,A bit late to pickup
904,904,5,4,"Great ride, on time!"
905,905,3,5,Excellent service
906,906,5,4,
907,907,5,5,
908,908,5,5,Excellent service
909,909,5,4,Smooth trip
910,910,5,4,Excellent service
911,911,3,5,Driver was very polite
912,912,5,4,
913,913,5,4,
914,914,4,4,"Great ride, on time!"
915,915,,,
916,916,,,
917,917,5,5,A bit late to pickup
919,919,5,4,
920,920,3,4,Car could be cleaner
923,923,5,4,"Great ride, on time!"
924,924,4,5,Driver was very polite
925,925,4,5,Car could be cleaner
926,926,4,5,A bit late to pickup
927,927,3,4,Driver was very polite
928,928,4,5,Excellent service
930,930,,,A bit late to pickup
931,931,,,A bit late to pickup
933,933,4,5,Excellent service
934,934,5,5,Smooth trip
936,936,4,5,Took a longer route than expected
937,937,5,4,Smooth trip
938,938,,,Driver was very polite
939,939,5,5,Driver was very polite
941,941,4,3,Car could be cleaner
942,942,5,5,Excellent service
943,943,4,5,A bit late to pickup
944,944,,,Excellent service
947,947,3,5,Excellent service
948,948,5,5,
949,949,,,A bit late to pickup
951,951,5,5,Smooth trip
952,952,4,4,Driver was very polite
953,953,4,5,Driver was very polite
954,954,4,4,Excellent service
956,956,4,5,"Great ride, on time!"
957,957,5,5,Took a longer route than expected
959,959,4,4,Car could be cleaner
960,960,,,Smooth trip
961,961,3,4,
962,962,,,Car could be cleaner
963,963,4,4,Driver was very polite
964,964,4,5,Took a longer route than expected
965,965,5,4,Smooth trip
966,966,5,5,
967,967,,,Smooth trip
968,968,5,5,Driver was very polite
969,969,4,5,
971,971,3,5,
975,975,4,4,"Great ride, on time!"
976,976,4,4,
977,977,,,
978,978,4,4,Took a longer route than expected
979,979,5,4,
980,980,3,5,Smooth trip
981,981,5,5,Excellent service
982,982,4,4,
983,983,5,5,A bit late to pickup
985,985,,,"Great ride, on time!"
987,987,5,5,
988,988,4,5,Car could be cleaner
989,989,5,4,A bit late to pickup
990,990,3,4,
993,993,5,5,Car could be cleaner
995,995,5,4,Car could be cleaner
997,997,5,5,Car could be cleaner
998,998,4,4,Excellent service
1000,1000,5,5,"Great ride, on time!"
1001,1001,,,
1002,1002,5,5,Driver was very polite
1004,1004,4,3,
1005,1005,4,4,
1006,1006,4,5,Car could be cleaner
1007,1007,4,4,Excellent service
1008,1008,4,4,Smooth trip
1009,1009,,,Excellent service
1010,1010,4,4,Smooth trip
1011,1011,4,5,Car could be cleaner
1012,1012,4,5,
1013,1013,5,3,Excellent service
1015,1015,4,5,Excellent service
1016,1016,5,5,
1018,1018,4,4,"Great ride, on time!"
1019,1019,4,5,Took a longer route than expected
1020,1020,4,4,
1021,1021,4,5,
1022,1022,5,4,
1023,1023,,,Took a longer route than expected
1024,1024,,,A bit late to pickup
1025,1025,5,5,
1027,1027,,,
1029,1029,4,4,Took a longer route than expected
1030,1030,4,4,Driver was very polite
1031,1031,,,Excellent service
1032,1032,4,4,
1034,1034,5,5,Excellent service
1036,1036,4,5,Took a longer route than expected
1039,1039,,,
1040,1040,5,5,Excellent service
1041,1041,4,5,Excellent service
1042,1042,,,Excellent service
1043,1043,,,Smooth trip
1044,1044,,,
1045,1045,4,5,"Great ride, on time!"
1046,1046,5,3,Car could be cleaner
1047,1047,3,5,
1049,1049,3,4,Excellent service
1050,1050,,,
1051,1051,4,5,
1052,1052,4,5,Car could be cleaner
1053,1053,4,5,Took a longer route than expected
1054,1054,5,4,A bit late to pickup
1055,1055,4,4,
1056,1056,5,4,Driver was very polite
1057,1057,4,5,
1059,1059,5,4,"Great ride, on time!"
1060,1060,3,5,
1061,1061,2,4,Smooth trip
1062,1062,4,5,
1063,1063,5,4,Excellent service
1064,1064,4,5,
1065,1065,5,5,Driver was very polite
1066,1066,5,4,Driver was very polite
1067,1067,5,4,A bit late to pickup
1069,1069,,,Car could be cleaner
1070,1070,5,5,Car could be cleaner
1071,1071,5,3,Car could be cleaner
1073,1073,5,5,
1074,1074,5,3,Took a longer route than expected
1075,1075,4,5,Driver was very polite
1076,1076,5,5,
1077,1077,4,5,
1078,1078,,,"Great ride, on time!"
1079,1079,5,4,Took a longer route than expected
1081,1081,4,4,
1083,1083,4,5,Driver was very polite
1084,1084,4,4,Driver was very polite
1085,1085,3,5,"Great ride, on time!"
1086,1086,5,4,Car could be cleaner
1087,1087,4,5,Smooth trip
1088,1088,5,4,"Great ride, on time!"
1089,1089,2,4,Car could be cleaner
1090,1090,4,4,
1091,1091,5,5,
1093,1093,4,5,Car could be cleaner
1094,1094,4,3,Smooth trip
1095,1095,4,4,Took a longer route than expected
1096,1096,,,Took a longer route than expected
1097,1097,4,5,"Great ride, on time!"
1098,1098,,,
1099,1099,4,5,
1100,1100,5,5,"Great ride, on time!"
1101,1101,4,5,Car could be cleaner
1102,1102,4,4,Car could be cleaner
1103,1103,4,4,
1104,1104,,,A bit late to pickup
1105,1105,,,Took a longer route than expected
1106,1106,5,4,Driver was very polite
1108,1108,,,
1109,1109,3,4,Smooth trip
1113,1113,,,
1114,1114,4,4,Car could be cleaner
1115,1115,4,4,Smooth trip
1116,1116,5,4,
1117,1117,5,5,Car could be cleaner
1118,1118,4,5,Excellent service
1120,1120,,,
1121,1121,5,5,Driver was very polite
1122,1122,3,4,Took a longer route than expected
1123,1123,3,4,Driver was very polite
1124,1124,5,5,
1125,1125,4,5,"Great ride, on time!"
1126,1126,,,A bit late to pickup
1127,1127,,,A bit late to pickup
1128,1128,5,5,
1129,1129,5,5,A bit late to pickup
1130,1130,,,
1131,1131,5,4,Smooth trip
1132,1132,4,4,Driver was very polite
1134,1134,4,4,
1135,1135,,,"Great ride, on time!"
1136,1136,4,4,
1137,1137,4,5,Took a longer route than expected
1138,1138,4,5,
1139,1139,,,
1141,1141,4,4,
1142,1142,,,
1143,1143,5,4,Driver was very polite
1144,1144,4,4,
1145,1145,,,"Great ride, on time!"
1147,1147,4,5,Took a longer route than expected
1148,1148,4,5,"Great ride, on time!"
1149,1149,5,5,Smooth trip
1150,1150,4,5,Smooth trip
1151,1151,,,
1152,1152,5,5,Excellent service
1153,1153,4,5,A bit late to pickup
1154,1154,4,5,
1155,1155,5,5,
1159,1159,5,4,
1160,1160,,,
1164,1164,5,5,Excellent service
1165,1165,4,4,A bit late to pickup
1166,1166,4,4,Car could be cleaner
1167,1167,5,5,Smooth trip
1168,1168,4,3,
1171,1171,5,4,Driver was very polite
1172,1172,4,3,Smooth trip
1173,1173,4,4,
1175,1175,3,5,
1178,1178,3,4,Driver was very polite
1179,1179,5,4,
1181,1181,4,4,Driver was very polite
1182,1182,,,
1183,1183,5,5,
1184,1184,4,4,
1185,1185,5,3,Driver was very polite
1186,1186,4,4,Excellent service
1187,1187,5,5,Driver was very polite
1189,1189,5,5,
1190,1190,5,5,Car could be cleaner
1191,1191,4,4,
1192,1192,,,A bit late to pickup
1193,1193,5,4,
1195,1195,5,4,A bit late to pickup
1196,1196,,,"Great ride, on time!"
1197,1197,3,4,Excellent service
1198,1198,,,"Great ride, on time!"
1199,1199,5,4,
1200,1200,5,5,Driver was very polite
1201,1201,5,5,
1203,1203,5,5,"Great ride, on time!"
1204,1204,4,4,Driver was very polite
1205,1205,4,4,Excellent service
1206,1206,5,4,Car could be cleaner
1207,1207,,,"Great ride, on time!"
1209,1209,,,
1210,1210,4,4,
1211,1211,3,5,
1213,1213,4,5,Smooth trip
1214,1214,5,4,Took a longer route than expected
1215,1215,4,4,Excellent service
1217,1217,,,A bit late to pickup
1218,1218,4,4,Car could be cleaner
1219,1219,,,
1220,1220,4,5,Took a longer route than expected
1222,1222,3,4,Smooth trip
1224,1224,4,4,"Great ride, on time!"
1226,1226,5,5,Smooth trip
1227,1227,3,5,
1229,1229,5,5,
1230,1230,4,5,Car could be cleaner
1231,1231,4,4,Excellent service
1233,1233,,,
1234,1234,4,4,Smooth trip
