vehicle_id,driver_id,vehicle_type,make,model,year,plate_number,seating_capacity
142,142,Bike,Toyota,Model,2016,SG-41-IB-8051,1
143,143,Bike,Honda,Read,2017,EV-07-BL-4045,1
144,144,Economy,Maruti,Section,2014,SN-93-JY-3276,4
145,145,Bike,Maruti,Miss,2019,OG-68-DN-9947,4
146,146,Auto,Hero,Current,2021,NM-30-DY-9252,4
147,147,Economy,Hyundai,Charge,2022,CF-05-JT-6360,4
148,148,Auto,Bajaj,Defense,2024,NF-13-IP-7394,6
149,149,Bike,Honda,Four,2015,YL-58-SM-1936,1
150,150,Premium,Tata,Rather,2015,FQ-64-TV-3653,1
151,151,XL,Bajaj,Million,2022,WH-59-XC-4568,4
152,152,Bike,Maruti,Early,2023,SO-89-YP-5146,1
153,153,Bike,Toyota,Scene,2016,EA-18-XO-7989,4
154,154,XL,Hero,Might,2021,JZ-30-NP-2304,4
155,155,Bike,Hero,Travel,2020,YA-38-XJ-8319,6
156,156,XL,Hyundai,Environmental,2024,QA-50-BX-9270,6
157,157,Bike,Hyundai,Couple,2019,GT-43-DC-8666,6
158,158,Premium,Maruti,Whatever,2018,UE-72-UG-6027,1
159,159,Auto,Honda,Still,2016,BW-96-NF-6368,6
160,160,XL,Hero,Blood,2020,MM-38-CK-0882,1
161,161,Auto,Bajaj,Require,2020,KS-70-DF-1998,4
162,162,Economy,Hyundai,War,2021,IG-07-AK-5186,4
163,163,Bike,Maruti,For,2021,RL-86-GP-3678,1
164,164,Auto,Honda,Seven,2013,AY-16-XZ-8960,4
165,165,Premium,Maruti,City,2015,DT-88-UK-1279,1
166,166,Economy,Maruti,Actually,2019,GB-52-BI-8465,3
167,167,XL,Honda,Politics,2024,GQ-17-NN-9224,6
168,168,Economy,Honda,Entire,2012,CJ-79-DH-7031,1
169,169,Premium,Honda,Crime,2024,WU-34-QQ-8098,1
170,170,Economy,Maruti,Already,2016,IP-87-MQ-8904,4
171,171,XL,Hyundai,Leg,2019,YD-65-LG-8672,6
172,172,XL,Tata,Phone,2013,VU-31-AT-8066,1
173,173,Auto,Tata,Edge,2013,OO-05-BH-9974,3
174,174,Premium,Maruti,War,2024,LP-78-XV-0378,6
175,175,Premium,Maruti,Medical,2019,HF-37-BS-1268,1
176,176,Auto,Hyundai,Every,2021,PO-15-UC-5781,3
177,177,Economy,Honda,Brother,2023,QV-31-YI-4217,4
178,178,Bike,Maruti,Hope,2020,PM-47-HF-9944,4
179,179,Premium,Hero,Rate,2018,PN-82-EA-7305,4
180,180,Bike,Toyota,Movie,2019,CH-62-RT-0840,1
181,181,Bike,Honda,Lose,2016,CS-64-AY-0157,6
182,182,Economy,Hero,Attorney,2012,QU-21-BV-9978,6
183,183,Economy,Maruti,Prepare,2015,VJ-25-YB-5424,1
184,184,Premium,Toyota,Section,2013,MD-67-DK-2929,1
185,185,XL,Hero,Practice,2014,BQ-26-BG-7940,6
186,186,Economy,Bajaj,Field,2023,CT-54-OJ-1382,4
187,187,Bike,Hyundai,Character,2014,IZ-68-MI-8339,4
188,188,Economy,Toyota,Guess,2020,PQ-98-BP-6225,4
189,189,Economy,Maruti,Apply,2024,FD-86-OX-2966,4
190,190,Economy,Tata,Trade,2021,JT-65-MF-7480,4
191,191,Auto,Hero,Recognize,2015,EO-14-OX-9262,1
192,192,Economy,Maruti,Girl,2013,BA-06-SY-0012,3
193,193,Auto,Tata,Our,2014,YC-09-KF-6149,6
194,194,Premium,Hyundai,Century,2014,WQ-00-LU-9166,4
195,195,Economy,Hyundai,Record,2018,GE-45-HR-4300,4
196,196,Premium,Honda,Throw,2019,PU-62-LT-7420,6
197,197,Economy,Hero,Student,2024,RM-25-DF-8987,4
198,198,Auto,Honda,Girl,2022,XZ-32-KG-1665,3
199,199,Premium,Tata,Draw,2024,HF-07-FN-0861,4
200,200,Economy,Tata,True,2017,AR-40-LJ-2500,4
201,201,Auto,Hyundai,Well,2015,PT-76-WQ-4349,1
202,202,Economy,Toyota,Put,2017,UM-65-SF-2650,3
203,203,Auto,Tata,Surface,2024,KG-74-XS-1160,4
204,204,Premium,Tata,What,2022,VW-95-MO-3887,6
205,205,Economy,Hero,Able,2012,QU-87-ER-5920,3
206,206,Economy,Toyota,Treat,2024,DZ-55-GZ-2823,3
207,207,Bike,Honda,Space,2021,FD-43-TR-0329,4
208,208,Auto,Honda,Paper,2019,ST-44-WR-3329,4
209,209,XL,Tata,Himself,2012,SE-78-DI-6740,4
210,210,Premium,Hero,Her,2016,YY-46-VZ-4972,4
211,211,Bike,Honda,Risk,2013,AC-83-OY-4190,4
212,212,Auto,Honda,Thus,2017,JS-10-SL-0997,3
213,213,Auto,Bajaj,Single,2020,EY-98-OQ-2993,4
214,214,Economy,Hero,Return,2016,WG-21-WM-2826,3
215,215,Premium,Honda,Officer,2015,EA-70-VP-2489,6
216,216,Economy,Hyundai,Million,2013,XX-57-HV-9991,1
217,217,Economy,Maruti,Miss,2023,HP-43-JX-4565,4
218,218,Premium,Tata,Political,2014,TD-34-SB-3440,3
219,219,Economy,Tata,Such,2017,LV-80-NP-6313,4
220,220,Bike,Hyundai,Seat,2019,UN-43-BV-5784,3
221,221,Economy,Maruti,Policy,2019,EO-73-GY-1282,3
222,222,XL,Maruti,Door,2016,QG-12-FU-6421,3
223,223,Premium,Hyundai,Indicate,2016,NX-44-DO-7889,4
224,224,Economy,Toyota,Find,2021,CB-70-NX-7050,3
225,225,Economy,Toyota,Remain,2024,CZ-06-LQ-2632,4
226,226,XL,Maruti,Step,2014,AX-32-FM-6572,4
227,227,Economy,Toyota,Court,2018,GN-80-YV-4707,4
228,228,Auto,Toyota,Middle,2024,QV-37-KS-9877,4
229,229,XL,Toyota,Develop,2017,YK-39-ZG-9963,6
230,230,Premium,Maruti,Magazine,2012,RZ-84-LI-5441,3
231,231,Auto,Toyota,Pay,2015,HK-38-ZZ-5792,3
232,232,Economy,Tata,Happen,2017,GU-29-MU-0165,6
233,233,Economy,Bajaj,Long,2022,ZI-95-VF-2747,1
234,234,Bike,Maruti,Church,2017,EP-15-CK-5333,4
235,235,XL,Hyundai,Doctor,2022,YE-31-NB-3475,1
236,236,Economy,Toyota,Near,2023,HZ-17-BZ-6502,4
237,237,Premium,Honda,Set,2023,TQ-00-NX-2786,1
238,238,Bike,Maruti,Produce,2014,WH-95-OI-8700,6
239,239,Economy,Hero,Bit,2017,GN-53-SA-8063,4
240,240,Bike,Hyundai,Knowledge,2023,KU-53-JD-7693,3
241,241,Premium,Bajaj,Responsibility,2021,LZ-92-GR-7462,1
242,242,Economy,Tata,Still,2017,VW-97-KQ-5311,3
243,243,Economy,Hero,West,2023,CU-43-CM-8720,4
244,244,Bike,Hyundai,Away,2020,RZ-31-YZ-4449,3
245,245,Auto,Toyota,Care,2020,RK-19-WW-9645,3
246,246,Bike,Honda,Pass,2013,AK-62-TJ-4384,4
247,247,Auto,Toyota,Church,2015,QO-77-AH-1573,4
248,248,Economy,Hyundai,Bed,2020,IJ-50-WF-7051,1
249,249,Economy,Maruti,Education,2024,CI-10-BE-3186,1
250,250,Economy,Hero,Full,2015,AB-59-EN-1445,4
251,251,Economy,Honda,Body,2019,UV-66-DT-7601,6
252,252,Auto,Hero,Blue,2021,LZ-43-PX-4010,3
253,253,Auto,Hero,Receive,2023,AP-57-XZ-6475,4
254,254,Bike,Honda,View,2014,ET-57-FW-3297,1
255,255,Premium,Hyundai,Provide,2014,NB-05-YW-0685,3
256,256,Economy,Bajaj,Back,2020,BW-23-SL-3094,4
257,257,Bike,Bajaj,Education,2022,YV-14-OD-7061,3
258,258,Bike,Toyota,Reality,2021,IM-30-AF-5342,4
259,259,Premium,Hyundai,Despite,2019,DK-81-ZP-6293,6
260,260,Economy,Honda,Apply,2012,DB-61-ZH-5071,6
261,261,Economy,Hyundai,Both,2021,DV-69-KD-0367,1
262,262,Economy,Honda,All,2013,CM-41-BR-1797,3
263,263,Auto,Hero,May,2014,CC-31-KN-9946,6
264,264,XL,Toyota,Get,2022,AE-60-JJ-8749,3
265,265,Premium,Maruti,Cup,2013,IH-98-TT-3087,4
266,266,Auto,Hero,Hotel,2014,JQ-77-XN-9888,3
267,267,Premium,Maruti,Young,2019,IR-75-BL-9686,3
268,268,Premium,Hyundai,Southern,2022,XC-74-KT-8230,1
269,269,Auto,Honda,Require,2022,LW-71-BH-5475,6
270,270,Economy,Maruti,Another,2023,EU-33-YC-6721,6
271,271,Bike,Hero,Could,2017,IL-81-SW-4082,3
272,272,Bike,Honda,Trouble,2018,FA-64-YU-9137,4
273,273,Economy,Toyota,Ever,2021,XK-09-AO-4231,3
274,274,Auto,Hero,Interview,2024,PN-37-EX-8131,1
275,275,Premium,Hyundai,Part,2021,ZB-18-BR-1369,4
276,276,XL,Honda,Family,2017,SM-79-QD-0464,4
277,277,Bike,Hyundai,Network,2012,WO-58-NQ-1519,3
278,278,Economy,Honda,There,2022,NR-27-KB-8911,3
279,279,Premium,Hero,Stand,2014,BR-89-DO-0098,6
280,280,Premium,Bajaj,Tax,2024,BO-68-BU-1441,6
281,281,Premium,Bajaj,Fight,2012,MR-61-KA-1772,4
282,282,Auto,Honda,Seek,2023,VH-67-VW-0805,1
283,283,Economy,Toyota,Sign,2021,PE-82-FT-4049,4
284,284,Economy,Hyundai,Under,2023,CO-95-DM-7240,3
285,285,XL,Tata,Body,2020,CW-15-LJ-1861,6
286,286,Auto,Honda,Conference,2024,TO-96-DA-2249,1
287,287,XL,Honda,Development,2020,GN-41-LX-9495,3
288,288,Auto,Bajaj,Chair,2016,IZ-19-ZO-9010,4
289,289,XL,Maruti,Test,2015,WF-34-SW-9227,4
290,290,Economy,Hero,Shoulder,2023,RK-70-BG-8594,4
291,291,Economy,Bajaj,Card,2020,MS-23-RQ-9554,3
292,292,Economy,Hyundai,Course,2020,HH-82-UP-1380,4
293,293,Auto,Bajaj,Drive,2014,RX-57-GN-6941,4
294,294,Auto,Tata,Total,2016,NE-98-XA-5532,1
295,295,Bike,Toyota,Conference,2014,DU-83-KU-9731,4
296,296,Bike,Hero,What,2021,SJ-23-GV-2434,6
297,297,Auto,Tata,Along,2013,UB-39-KJ-5796,1
298,298,Premium,Toyota,Open,2012,AA-07-TQ-3350,1
299,299,Economy,Tata,Member,2023,KN-55-SC-8048,3
300,300,Bike,Hero,Stock,2021,XV-78-WH-2862,1
301,301,Premium,Bajaj,Enjoy,2013,XB-72-WK-9370,4
302,302,Economy,Tata,Need,2019,HD-58-XW-7360,4
303,303,XL,Bajaj,Soldier,2022,TQ-82-FA-2623,4
304,304,Economy,Hero,Fund,2019,MI-75-OC-0115,1
305,305,Bike,Bajaj,Various,2014,EV-03-WY-4147,4
306,306,Economy,Hyundai,Score,2018,PC-88-LL-6371,4
307,307,Economy,Bajaj,Trade,2018,PG-87-LI-0805,6
308,308,Bike,Maruti,Support,2013,QN-98-YZ-1223,1
309,309,Bike,Tata,Matter,2020,RZ-57-SV-5376,4
310,310,Bike,Hero,Artist,2014,JA-12-IQ-5622,6
311,311,Auto,Honda,Yeah,2013,LK-34-RU-6442,4
312,312,Economy,Honda,Special,2023,EJ-61-RY-3807,3
313,313,Economy,Honda,Sometimes,2014,MQ-06-VE-9939,1
314,314,Bike,Hero,South,2013,NJ-06-EY-8382,6
315,315,Economy,Maruti,Serve,2019,SL-29-FG-8604,3
316,316,Economy,Bajaj,Parent,2016,PM-57-OA-1036,6
317,317,Auto,Tata,Fly,2014,UO-56-CR-9562,4
318,318,Bike,Toyota,Despite,2016,NU-96-KJ-9412,3
319,319,Bike,Toyota,Pattern,2022,GW-88-WH-9908,4
320,320,Auto,Hero,Then,2022,DG-60-SM-8110,1
321,321,Bike,Hyundai,These,2019,GB-23-GP-6036,3
322,322,Auto,Maruti,Book,2018,NZ-58-FI-8444,4
323,323,Economy,Tata,Energy,2017,AN-13-JY-2677,4
324,324,Economy,Bajaj,Media,2024,ZT-31-OG-9180,3
325,325,Auto,Honda,Actually,2012,FV-43-XY-0979,4
326,326,Auto,Maruti,New,2021,JW-84-CE-2181,3
327,327,Economy,Maruti,Head,2012,FT-87-SO-4729,4
328,328,Premium,Tata,Or,2012,SC-11-TY-2659,4
329,329,Premium,Hero,Unit,2021,IE-03-FH-0231,3
330,330,Economy,Bajaj,Less,2019,IF-17-UH-0423,6
331,331,Auto,Hero,Natural,2019,NZ-88-KB-1185,4
332,332,Auto,Hero,Describe,2018,WI-63-DK-0416,4
333,333,Premium,Hyundai,Media,2017,KW-61-OG-8910,4
334,334,Bike,Hero,Prepare,2015,WU-00-EO-1792,1
335,335,XL,Bajaj,Condition,2012,EN-62-QC-2380,3
336,336,Economy,Hyundai,Candidate,2020,MT-02-AE-0981,4
337,337,Economy,Hyundai,Down,2012,ZC-46-DF-9613,6
338,338,Bike,Honda,Brother,2015,DS-27-TK-2045,4
339,339,Economy,Honda,Language,2014,PN-80-XB-6353,3
340,340,Economy,Tata,Team,2018,EC-16-TK-2625,4
341,341,Bike,Bajaj,Your,2016,XQ-46-EZ-1730,1
342,342,Auto,Hero,Sit,2016,LZ-51-CM-3320,1
343,343,Premium,Hyundai,Once,2015,TF-09-OM-2407,4
344,344,Economy,Tata,Cultural,2012,PK-59-DO-6653,4
345,345,Economy,Hyundai,Challenge,2016,MO-63-MG-8574,3
346,346,Bike,Maruti,How,2015,YJ-95-TG-8000,4
347,347,Economy,Toyota,Rate,2021,FT-62-TB-6750,4
348,348,Economy,Toyota,Arm,2024,AY-83-BO-1465,3
349,349,Economy,Hyundai,Name,2019,YV-94-SP-5584,4
350,350,Economy,Tata,According,2013,BI-20-NK-1819,3
351,351,Economy,Honda,Prepare,2019,HJ-01-MA-6519,4
352,352,Economy,Bajaj,Take,2012,CD-60-VH-9175,4
353,353,Auto,Hyundai,Pick,2024,ZB-92-RZ-6775,4
354,354,XL,Hyundai,Determine,2015,MU-16-MR-2284,6
355,355,Economy,Bajaj,Likely,2014,YK-65-AJ-6887,1
356,356,Auto,Hero,Author,2016,OY-04-YR-8710,4
357,357,Economy,Honda,Hotel,2024,FQ-53-SY-4764,4
358,358,Premium,Hyundai,Both,2016,VN-27-ES-1974,4
359,359,Bike,Maruti,Probably,2016,DD-59-JO-5508,4
360,360,Auto,Honda,Each,2023,EM-90-UB-6954,4
361,361,Economy,Maruti,Bad,2015,NA-42-OF-7294,4
362,362,Auto,Toyota,Wish,2019,QU-09-DP-0982,3
363,363,Premium,Bajaj,List,2014,CJ-81-MA-4647,3
364,364,Bike,Honda,Thousand,2023,YB-07-AK-4170,4
365,365,Premium,Hero,Of,2015,QQ-25-FM-2553,4
366,366,Bike,Honda,Fish,2012,IB-41-KW-7622,6
367,367,Bike,Tata,Expect,2018,GY-41-PC-7540,1
368,368,Premium,Tata,Send,2012,KJ-90-HC-5848,3
369,369,Economy,Bajaj,Piece,2013,NO-39-GB-3396,4
370,370,Auto,Hero,Off,2022,GI-82-ZD-9656,6
371,371,Auto,Honda,Operation,2018,YQ-64-DJ-6467,6
372,372,Economy,Toyota,Stop,2012,QW-56-DV-2508,3
373,373,Economy,Hero,Spring,2022,JW-14-DA-3999,1
374,374,XL,Hyundai,Summer,2014,AJ-99-HW-2861,4
375,375,XL,Bajaj,Employee,2024,UR-51-VJ-4382,3
376,376,Economy,Hero,Now,2017,KH-03-IW-2865,6
377,377,Economy,Bajaj,About,2017,HN-19-ZM-8052,4
378,378,Economy,Hero,Decade,2017,OA-05-UQ-3067,3
379,379,Economy,Tata,Life,2022,SB-83-GV-0388,3
380,380,Bike,Toyota,Pull,2024,SS-67-EL-7692,3
381,381,Auto,Bajaj,Fall,2013,LD-10-CM-5071,4
382,382,Bike,Toyota,Rate,2013,BB-57-LH-4454,1
383,383,Bike,Bajaj,Left,2017,NJ-43-PT-8767,3
384,384,Bike,Tata,View,2021,BM-31-UM-5567,6
385,385,Economy,Hyundai,Sit,2016,VA-79-OK-2962,1
386,386,Premium,Tata,Summer,2018,WC-73-MR-2437,4
387,387,Economy,Bajaj,During,2018,ZW-91-UR-9056,3
388,388,Auto,Toyota,Of,2016,BC-14-ZH-1343,4
389,389,Bike,Maruti,Candidate,2019,ZS-32-JF-9876,1
390,390,Economy,Tata,Big,2021,EY-60-AK-5191,3
391,391,Auto,Toyota,Dog,2017,QU-42-QN-3637,4
392,392,Economy,Hero,Student,2016,EH-73-QM-8013,3
393,393,XL,Hero,Detail,2015,ZB-41-VJ-3571,4
394,394,Bike,Tata,Like,2018,DY-26-KB-1114,3
395,395,Auto,Bajaj,Ask,2015,YW-73-OU-4787,4
396,396,Economy,Hero,Remain,2016,YA-54-TC-1455,6
397,397,XL,Toyota,Enough,2016,UL-31-LZ-1688,1
398,398,Premium,Hyundai,Paper,2012,PH-63-MR-7008,3
399,399,Premium,Toyota,Exactly,2012,JQ-38-XE-3014,4
400,400,Auto,Hero,Individual,2014,HH-81-DR-6560,4
401,401,XL,Hero,Condition,2022,SS-41-ZZ-8902,1
402,402,Bike,Honda,Follow,2014,DN-28-QS-8261,4
403,403,Bike,Maruti,Thousand,2013,MF-60-QK-8736,3
404,404,Premium,Bajaj,Hit,2023,IW-31-JL-8137,1
405,405,XL,Toyota,Form,2013,PO-38-AX-0450,6
406,406,Bike,Hero,Foot,2017,ZS-83-FA-4911,4
407,407,Bike,Bajaj,Allow,2024,SA-49-JZ-2738,4
408,408,Bike,Tata,Less,2012,OF-13-ZS-3722,3
409,409,Bike,Tata,Total,2017,NQ-81-LL-8155,1
410,410,Auto,Toyota,Method,2016,FM-58-ZF-8302,6
411,411,XL,Honda,Us,2017,TE-16-UE-0338,1
412,412,Economy,Hero,Administration,2016,FT-87-MA-6028,3
413,413,Premium,Toyota,Administration,2018,EA-72-VS-6488,3
414,414,Premium,Hyundai,Full,2012,IE-03-LH-9167,4
415,415,Economy,Honda,White,2024,PI-83-VO-7939,3
416,416,Premium,Hero,Early,2014,YC-93-PH-0822,3
417,417,Economy,Hero,Why,2017,LU-14-PX-6953,6
418,418,Auto,Bajaj,Heart,2012,CC-69-KO-8232,4
419,419,Economy,Toyota,Fund,2024,BZ-48-RY-6115,1
420,420,Economy,Hero,Rate,2022,BE-23-RK-0678,4
421,421,Premium,Bajaj,Yes,2022,TE-46-JJ-7014,3
422,422,XL,Hero,Movement,2018,CJ-04-MW-4712,4
423,423,Economy,Maruti,Natural,2015,GV-62-ZL-4874,4
424,424,Premium,Honda,Case,2014,EO-37-ZZ-8861,3
425,425,Bike,Toyota,Too,2021,WM-27-NP-7606,3
426,426,Premium,Maruti,Democratic,2020,LD-51-BX-3689,4
