payment_id,trip_id,amount,payment_method,payment_status,payment_datetime
59,59,37.31,Card,Success,2025-01-01 12:21:54
60,60,178.21,Cash,Success,2025-01-01 12:49:48
61,61,94.73,UPI,Success,2025-01-01 12:49:18
62,62,137.94,Card,Success,2025-01-01 13:02:48
63,63,80.53,Wallet,Success,2025-01-01 13:03:36
64,64,103.22,Wallet,Success,2025-01-01 13:22:06
65,65,180.3,Wallet,Success,2025-01-01 13:38:06
66,66,127.7,Card,Success,2025-01-01 13:51:42
67,67,230.08,Card,Success,2025-01-01 14:05:42
68,68,155.67,Card,Failed,2025-01-01 14:02:24
69,69,163.4,Cash,Success,2025-01-01 14:12:48
70,70,25.57,Card,Success,2025-01-01 14:19:00
71,71,0.0,Wallet,Not_Applicable,
72,72,293.81,UPI,Success,2025-01-01 14:47:42
73,73,0.0,Wallet,Not_Applicable,
74,74,350.45,UPI,Success,2025-01-01 15:24:36
75,75,180.04,Wallet,Success,2025-01-01 15:13:06
76,76,87.13,Card,Success,2025-01-01 15:04:36
77,77,133.59,Cash,Success,2025-01-01 15:06:00
78,78,0.0,Cash,Not_Applicable,
79,79,50.72,Cash,Success,2025-01-01 15:38:18
80,80,305.56,Cash,Success,2025-01-01 16:02:30
81,81,53.71,Card,Success,2025-01-01 16:01:24
82,82,251.92,Cash,Success,2025-01-01 16:21:00
83,83,120.45,UPI,Success,2025-01-01 16:21:24
84,84,77.43,Wallet,Success,2025-01-01 15:55:36
85,85,44.55,Card,Success,2025-01-01 16:18:36
86,86,30.03,Card,Success,2025-01-01 16:13:36
87,87,408.34,Card,Success,2025-01-01 16:45:54
88,88,202.63,UPI,Success,2025-01-01 17:07:30
89,89,134.03,Wallet,Success,2025-01-01 16:41:54
90,90,0.0,Wallet,Not_Applicable,
91,91,75.98,UPI,Success,2025-01-01 17:21:18
92,92,110.61,Card,Success,2025-01-01 17:15:24
93,93,81.32,Cash,Success,2025-01-01 17:07:24
94,94,155.07,Wallet,Success,2025-01-01 17:24:12
95,95,35.74,Card,Success,2025-01-01 17:20:30
96,96,104.4,Card,Success,2025-01-01 17:30:00
97,97,233.03,Wallet,Success,2025-01-01 17:25:42
98,98,118.46,Cash,Success,2025-01-01 17:46:54
99,99,123.93,Cash,Success,2025-01-01 18:29:54
100,100,0.0,UPI,Not_Applicable,
101,101,95.42,Card,Success,2025-01-01 18:16:48
102,102,0.0,Wallet,Not_Applicable,
103,103,370.5,Card,Success,2025-01-01 18:43:48
104,104,48.21,UPI,Success,2025-01-01 18:23:06
105,105,65.64,Wallet,Success,2025-01-01 18:30:30
106,106,275.42,Card,Refunded,2025-01-01 18:52:18
107,107,188.18,Wallet,Success,2025-01-01 19:14:54
108,108,123.31,Card,Success,2025-01-01 19:13:18
109,109,137.68,Wallet,Success,2025-01-01 18:59:48
110,110,75.91,UPI,Success,2025-01-01 18:56:00
111,111,99.61,UPI,Success,2025-01-01 19:12:12
112,112,0.0,Wallet,Not_Applicable,
113,113,101.68,Cash,Success,2025-01-01 19:18:30
114,114,73.68,Cash,Success,2025-01-01 19:06:36
115,115,77.35,UPI,Success,2025-01-01 19:13:54
116,116,45.55,Wallet,Success,2025-01-01 19:08:00
117,117,84.63,UPI,Success,2025-01-01 19:45:36
118,118,106.25,Wallet,Success,2025-01-01 19:37:18
119,119,88.32,Wallet,Success,2025-01-01 19:49:48
120,120,226.25,Wallet,Success,2025-01-01 19:49:06
121,121,161.88,Card,Success,2025-01-01 20:15:30
122,122,106.44,UPI,Success,2025-01-01 20:24:42
123,123,309.34,Wallet,Success,2025-01-01 20:27:36
124,124,161.98,UPI,Success,2025-01-01 20:25:24
125,125,176.38,Wallet,Success,2025-01-01 20:36:24
126,126,0.0,Card,Not_Applicable,
127,127,232.03,Wallet,Success,2025-01-01 21:01:12
128,128,204.33,UPI,Success,2025-01-01 21:08:12
129,129,282.83,Card,Success,2025-01-01 21:49:54
130,130,0.0,Card,Not_Applicable,
131,131,73.17,Cash,Success,2025-01-01 21:45:06
132,132,150.76,Card,Success,2025-01-01 21:37:42
133,133,0.0,UPI,Not_Applicable,
134,134,113.76,Card,Success,2025-01-01 22:02:54
135,135,179.79,Wallet,Success,2025-01-01 21:55:18
136,136,177.54,UPI,Success,2025-01-01 22:16:00
137,137,0.0,Wallet,Not_Applicable,
138,138,54.56,Wallet,Success,2025-01-01 22:56:00
139,139,29.12,Wallet,Success,2025-01-01 23:06:30
140,140,0.0,Cash,Not_Applicable,
141,141,49.35,Card,Success,2025-01-01 23:16:48
142,142,0.0,Wallet,Not_Applicable,
143,143,0.0,Wallet,Not_Applicable,
144,144,0.0,Card,Not_Applicable,
145,145,43.48,UPI,Success,2025-01-02 02:52:54
146,146,49.19,UPI,Success,2025-01-02 04:19:00
147,147,68.81,Card,Success,2025-01-02 04:59:42
148,148,248.47,Card,Success,2025-01-02 05:30:48
149,149,54.64,Card,Success,2025-01-02 05:37:00
150,150,246.72,Card,Success,2025-01-02 05:55:48
151,151,84.27,Wallet,Success,2025-01-02 05:59:42
152,152,53.46,Cash,Success,2025-01-02 06:10:36
153,153,174.99,Card,Success,2025-01-02 06:21:36
154,154,82.4,UPI,Failed,2025-01-02 06:14:54
155,155,73.3,UPI,Success,2025-01-02 06:25:42
156,156,129.94,Card,Success,2025-01-02 07:04:12
157,157,0.0,Card,Not_Applicable,
158,158,55.07,Card,Success,2025-01-02 07:02:12
159,159,29.14,Cash,Success,2025-01-02 07:21:48
160,160,73.16,UPI,Success,2025-01-02 07:38:24
161,161,0.0,Cash,Not_Applicable,
162,162,163.99,Card,Success,2025-01-02 08:27:12
163,163,248.33,Wallet,Success,2025-01-02 08:06:00
164,164,0.0,UPI,Not_Applicable,
165,165,143.94,UPI,Success,2025-01-02 08:40:36
166,166,96.56,Card,Success,2025-01-02 08:24:24
167,167,0.0,Wallet,Not_Applicable,
168,168,107.82,UPI,Success,2025-01-02 08:23:24
169,169,106.01,UPI,Failed,2025-01-02 08:42:54
170,170,69.11,Wallet,Success,2025-01-02 08:36:36
171,171,41.27,UPI,Success,2025-01-02 08:35:36
172,172,392.28,UPI,Success,2025-01-02 08:58:18
173,173,97.56,Wallet,Success,2025-01-02 08:48:48
174,174,48.77,UPI,Success,2025-01-02 08:40:24
175,175,205.46,Cash,Success,2025-01-02 08:39:00
176,176,136.44,Card,Success,2025-01-02 09:08:24
177,177,0.0,UPI,Not_Applicable,
178,178,98.82,Wallet,Success,2025-01-02 09:25:30
179,179,193.34,Wallet,Success,2025-01-02 09:22:12
180,180,171.12,Wallet,Success,2025-01-02 09:12:00
181,181,122.9,Cash,Success,2025-01-02 09:24:18
182,182,0.0,Wallet,Not_Applicable,
183,183,101.47,UPI,Success,2025-01-02 10:16:00
184,184,0.0,UPI,Not_Applicable,
185,185,179.83,Card,Success,2025-01-02 10:08:48
186,186,60.8,UPI,Success,2025-01-02 10:08:30
187,187,141.77,UPI,Success,2025-01-02 10:55:42
188,188,24.63,Card,Success,2025-01-02 10:40:30
189,189,168.98,Card,Success,2025-01-02 11:21:06
190,190,389.46,Wallet,Success,2025-01-02 11:45:24
191,191,300.92,UPI,Success,2025-01-02 11:41:00
192,192,46.75,Cash,Success,2025-01-02 11:22:18
193,193,77.39,UPI,Success,2025-01-02 11:44:42
194,194,0.0,UPI,Not_Applicable,
195,195,309.53,UPI,Success,2025-01-02 12:11:54
196,196,54.39,Wallet,Success,2025-01-02 11:47:00
197,197,60.33,UPI,Success,2025-01-02 11:46:00
198,198,30.2,UPI,Success,2025-01-02 11:55:00
199,199,119.83,Cash,Success,2025-01-02 12:33:18
200,200,200.81,UPI,Success,2025-01-02 12:23:36
201,201,0.0,UPI,Not_Applicable,
202,202,55.23,Wallet,Success,2025-01-02 12:21:48
203,203,237.94,Wallet,Success,2025-01-02 12:39:06
204,204,100.08,Card,Success,2025-01-02 12:29:54
205,205,280.07,Wallet,Success,2025-01-02 12:41:36
206,206,38.12,Wallet,Success,2025-01-02 12:35:48
207,207,164.13,Wallet,Success,2025-01-02 12:54:06
208,208,33.02,Cash,Success,2025-01-02 12:50:00
209,209,59.52,UPI,Success,2025-01-02 12:46:00
210,210,101.83,UPI,Success,2025-01-02 13:02:18
211,211,109.01,Wallet,Success,2025-01-02 13:10:30
212,212,0.0,Wallet,Not_Applicable,
213,213,0.0,UPI,Not_Applicable,
214,214,0.0,Wallet,Not_Applicable,
215,215,158.02,UPI,Success,2025-01-02 14:15:00
216,216,154.49,UPI,Success,2025-01-02 14:16:00
217,217,82.27,UPI,Success,2025-01-02 13:40:42
218,218,180.3,Card,Success,2025-01-02 14:07:54
219,219,326.5,Wallet,Success,2025-01-02 14:05:42
220,220,81.35,Card,Success,2025-01-02 14:05:36
221,221,86.29,Card,Success,2025-01-02 13:52:42
222,222,43.83,UPI,Success,2025-01-02 13:58:30
223,223,0.0,Card,Not_Applicable,
224,224,60.34,Cash,Success,2025-01-02 14:37:06
225,225,47.7,Cash,Success,2025-01-02 14:25:42
226,226,51.77,Card,Success,2025-01-02 14:45:12
227,227,150.44,UPI,Success,2025-01-02 15:06:54
228,228,0.0,Card,Not_Applicable,
229,229,0.0,UPI,Not_Applicable,
230,230,92.15,UPI,Success,2025-01-02 15:21:36
231,231,82.15,UPI,Success,2025-01-02 15:15:00
232,232,149.65,Wallet,Success,2025-01-02 15:27:54
233,233,407.3,UPI,Success,2025-01-02 15:53:24
234,234,142.4,Card,Success,2025-01-02 15:31:54
235,235,28.41,Wallet,Success,2025-01-02 15:45:00
236,236,282.41,Wallet,Success,2025-01-02 16:07:18
237,237,41.52,Wallet,Success,2025-01-02 16:14:36
238,238,0.0,UPI,Not_Applicable,
239,239,36.64,Wallet,Success,2025-01-02 16:58:48
240,240,64.82,Cash,Success,2025-01-02 17:13:24
241,241,22.09,UPI,Success,2025-01-02 17:15:48
242,242,236.11,Card,Failed,2025-01-02 17:29:24
243,243,0.0,Cash,Not_Applicable,
244,244,313.6,Wallet,Success,2025-01-02 17:56:54
245,245,0.0,Wallet,Not_Applicable,
246,246,93.16,UPI,Success,2025-01-02 17:41:06
247,247,115.85,UPI,Success,2025-01-02 18:07:00
248,248,42.48,Cash,Success,2025-01-02 17:50:00
249,249,115.52,Cash,Success,2025-01-02 18:23:06
250,250,88.53,UPI,Success,2025-01-02 18:07:36
251,251,96.55,UPI,Success,2025-01-02 17:55:54
252,252,85.57,UPI,Success,2025-01-02 18:16:18
253,253,137.58,Card,Success,2025-01-02 18:04:00
254,254,0.0,Card,Not_Applicable,
255,255,0.0,Card,Not_Applicable,
256,256,45.46,Card,Success,2025-01-02 18:28:06
257,257,0.0,Wallet,Not_Applicable,
258,258,112.67,Card,Success,2025-01-02 18:51:54
259,259,0.0,UPI,Not_Applicable,
260,260,143.33,Wallet,Success,2025-01-02 18:58:18
261,261,188.18,Card,Success,2025-01-02 19:23:24
262,262,165.17,Wallet,Success,2025-01-02 19:21:18
263,263,122.48,Card,Success,2025-01-02 19:18:36
264,264,208.77,Card,Success,2025-01-02 19:02:42
265,265,190.04,Card,Success,2025-01-02 19:17:06
266,266,285.05,UPI,Success,2025-01-02 19:54:00
267,267,0.0,Card,Not_Applicable,
268,268,129.37,Card,Success,2025-01-02 19:35:00
269,269,77.7,UPI,Success,2025-01-02 19:58:18
270,270,0.0,UPI,Not_Applicable,
271,271,300.57,Card,Success,2025-01-02 20:21:00
272,272,370.67,Wallet,Failed,2025-01-02 20:24:30
273,273,51.58,UPI,Success,2025-01-02 20:22:24
274,274,258.56,UPI,Success,2025-01-02 20:30:42
275,275,181.31,UPI,Success,2025-01-02 20:42:42
276,276,864.3,UPI,Success,2025-01-02 21:50:48
277,277,48.41,Card,Success,2025-01-02 21:01:42
278,278,239.24,Wallet,Success,2025-01-02 21:04:06
279,279,179.43,Wallet,Success,2025-01-02 21:26:54
280,280,164.06,Wallet,Success,2025-01-02 21:46:54
281,281,21.0,Card,Success,2025-01-02 21:42:30
282,282,78.12,UPI,Success,2025-01-02 22:00:12
283,283,153.75,Card,Success,2025-01-02 21:49:18
284,284,67.91,Card,Success,2025-01-02 22:14:30
285,285,68.56,Card,Success,2025-01-02 22:19:00
286,286,39.16,Cash,Success,2025-01-02 22:21:00
287,287,115.72,UPI,Success,2025-01-02 22:40:48
288,288,72.15,UPI,Success,2025-01-02 23:06:12
289,289,0.0,UPI,Not_Applicable,
290,290,164.09,Card,Success,2025-01-03 00:24:48
291,291,209.21,UPI,Success,2025-01-03 00:56:48
292,292,34.09,Card,Success,2025-01-03 01:01:24
293,293,181.66,Wallet,Success,2025-01-03 02:14:36
294,294,0.0,UPI,Not_Applicable,
295,295,400.94,Cash,Success,2025-01-03 03:33:24
296,296,81.74,UPI,Success,2025-01-03 04:16:36
297,297,0.0,Cash,Not_Applicable,
298,298,105.61,UPI,Success,2025-01-03 04:48:48
299,299,114.0,Cash,Success,2025-01-03 05:38:42
300,300,48.43,Wallet,Success,2025-01-03 07:05:48
301,301,53.15,UPI,Success,2025-01-03 06:54:24
302,302,82.31,UPI,Success,2025-01-03 07:06:48
303,303,98.36,Wallet,Success,2025-01-03 07:13:36
304,304,120.63,UPI,Success,2025-01-03 07:37:06
305,305,85.73,Wallet,Refunded,2025-01-03 08:00:00
306,306,204.76,Wallet,Failed,2025-01-03 08:41:12
307,307,0.0,UPI,Not_Applicable,
308,308,62.6,Wallet,Success,2025-01-03 07:57:42
309,309,274.61,UPI,Success,2025-01-03 08:25:42
310,310,117.87,Cash,Success,2025-01-03 08:16:54
311,311,0.0,Card,Not_Applicable,
312,312,122.54,UPI,Success,2025-01-03 08:22:24
313,313,0.0,Card,Not_Applicable,
314,314,0.0,UPI,Not_Applicable,
315,315,58.1,UPI,Success,2025-01-03 08:48:24
316,316,178.45,Wallet,Success,2025-01-03 08:59:00
317,317,57.68,Wallet,Success,2025-01-03 08:47:48
318,318,194.89,UPI,Success,2025-01-03 09:07:12
319,319,441.31,Wallet,Success,2025-01-03 09:25:30
320,320,0.0,Cash,Not_Applicable,
321,321,286.46,UPI,Success,2025-01-03 09:09:18
322,322,124.82,Cash,Success,2025-01-03 09:49:42
323,323,117.22,Card,Success,2025-01-03 09:32:12
324,324,0.0,UPI,Not_Applicable,
325,325,102.89,Cash,Success,2025-01-03 09:32:00
326,326,0.0,Card,Not_Applicable,
327,327,0.0,UPI,Not_Applicable,
328,328,0.0,UPI,Not_Applicable,
329,329,270.35,Card,Success,2025-01-03 09:57:18
330,330,0.0,Card,Not_Applicable,
331,331,57.15,UPI,Success,2025-01-03 10:03:24
332,332,93.23,Wallet,Success,2025-01-03 10:10:36
333,333,99.5,Card,Success,2025-01-03 10:05:00
334,334,69.93,Card,Success,2025-01-03 10:23:00
335,335,157.62,UPI,Success,2025-01-03 10:30:00
336,336,0.0,Card,Not_Applicable,
337,337,63.49,UPI,Success,2025-01-03 10:59:06
338,338,100.65,UPI,Success,2025-01-03 10:56:24
339,339,94.16,Card,Success,2025-01-03 10:53:42
340,340,64.75,UPI,Success,2025-01-03 10:53:54
341,341,71.63,Card,Success,2025-01-03 11:02:24
342,342,186.65,Card,Success,2025-01-03 11:25:30
343,343,83.04,Wallet,Failed,2025-01-03 11:18:18
344,344,163.94,UPI,Success,2025-01-03 11:29:18
345,345,117.01,Wallet,Success,2025-01-03 11:42:18
346,346,0.0,Card,Not_Applicable,
347,347,146.04,UPI,Success,2025-01-03 12:20:24
348,348,343.25,Wallet,Success,2025-01-03 12:26:12
349,349,417.61,UPI,Success,2025-01-03 13:11:24
350,350,41.41,Wallet,Success,2025-01-03 12:28:06
351,351,46.34,Wallet,Success,2025-01-03 12:44:24
352,352,255.47,Card,Success,2025-01-03 13:11:06
353,353,77.39,Card,Success,2025-01-03 13:11:54
354,354,223.75,Cash,Success,2025-01-03 13:46:36
355,355,49.93,UPI,Success,2025-01-03 13:50:00
356,356,0.0,UPI,Not_Applicable,
357,357,209.86,Card,Success,2025-01-03 14:15:54
358,358,116.95,Cash,Success,2025-01-03 14:30:24
359,359,68.31,UPI,Success,2025-01-03 14:44:30
360,360,0.0,UPI,Not_Applicable,
361,361,78.1,Cash,Success,2025-01-03 15:22:12
362,362,195.66,Cash,Success,2025-01-03 15:22:00
363,363,95.1,Card,Success,2025-01-03 15:25:54
364,364,89.51,Cash,Success,2025-01-03 15:41:36
365,365,52.1,Wallet,Success,2025-01-03 15:38:00
366,366,61.42,Wallet,Success,2025-01-03 15:42:06
367,367,0.0,Card,Not_Applicable,
368,368,185.56,Wallet,Success,2025-01-03 15:47:18
369,369,172.2,Wallet,Success,2025-01-03 16:27:36
370,370,276.31,Wallet,Success,2025-01-03 16:05:36
371,371,124.41,Card,Success,2025-01-03 16:22:06
372,372,0.0,Wallet,Not_Applicable,
373,373,109.82,Card,Success,2025-01-03 16:20:24
374,374,87.62,Wallet,Success,2025-01-03 16:35:36
375,375,66.63,UPI,Success,2025-01-03 16:31:42
376,376,207.45,Cash,Success,2025-01-03 16:37:00
377,377,91.04,UPI,Success,2025-01-03 16:47:42
378,378,57.07,Card,Success,2025-01-03 16:57:42
379,379,336.69,Card,Failed,2025-01-03 17:17:48
380,380,86.36,Card,Success,2025-01-03 17:07:06
381,381,169.98,Card,Success,2025-01-03 17:06:30
382,382,159.63,Cash,Success,2025-01-03 17:40:24
383,383,254.58,Card,Success,2025-01-03 17:43:54
384,384,67.32,Card,Success,2025-01-03 17:20:48
385,385,80.23,UPI,Success,2025-01-03 17:21:12
386,386,137.49,UPI,Refunded,2025-01-03 17:35:36
387,387,127.82,UPI,Success,2025-01-03 17:34:24
388,388,70.84,UPI,Success,2025-01-03 17:35:48
389,389,0.0,UPI,Not_Applicable,
390,390,65.86,Card,Success,2025-01-03 18:08:48
391,391,75.92,UPI,Success,2025-01-03 18:21:00
392,392,76.55,Card,Success,2025-01-03 18:20:18
393,393,433.78,Cash,Success,2025-01-03 18:45:00
394,394,225.7,Card,Success,2025-01-03 18:43:18
395,395,121.89,Card,Success,2025-01-03 18:55:24
396,396,115.74,Card,Success,2025-01-03 18:56:36
397,397,0.0,UPI,Not_Applicable,
398,398,0.0,UPI,Not_Applicable,
399,399,0.0,Cash,Not_Applicable,
400,400,0.0,UPI,Not_Applicable,
401,401,0.0,Cash,Not_Applicable,
402,402,205.18,UPI,Success,2025-01-03 19:56:36
403,403,35.6,Card,Success,2025-01-03 19:11:36
404,404,194.84,Card,Failed,2025-01-03 19:13:42
405,405,272.94,Wallet,Success,2025-01-03 19:12:24
406,406,152.73,UPI,Success,2025-01-03 19:41:12
407,407,108.01,Wallet,Success,2025-01-03 19:34:30
408,408,0.0,Cash,Not_Applicable,
409,409,93.89,Wallet,Success,2025-01-03 19:56:24
410,410,72.76,UPI,Success,2025-01-03 19:38:00
411,411,0.0,UPI,Not_Applicable,
412,412,0.0,Wallet,Not_Applicable,
413,413,0.0,Wallet,Not_Applicable,
414,414,0.0,UPI,Not_Applicable,
415,415,124.84,Card,Refunded,2025-01-03 20:05:18
416,416,184.52,UPI,Success,2025-01-03 20:17:42
417,417,50.72,Cash,Success,2025-01-03 19:54:00
418,418,89.28,UPI,Success,2025-01-03 20:02:36
419,419,158.24,Card,Success,2025-01-03 20:27:42
420,420,150.43,Card,Success,2025-01-03 20:22:48
421,421,74.58,UPI,Success,2025-01-03 20:03:00
422,422,424.41,Card,Success,2025-01-03 20:19:12
423,423,144.77,UPI,Success,2025-01-03 20:34:18
424,424,49.51,Wallet,Success,2025-01-03 20:15:00
425,425,0.0,Cash,Not_Applicable,
426,426,39.34,Card,Success,2025-01-03 20:32:00
427,427,59.58,Card,Success,2025-01-03 20:55:18
428,428,64.72,UPI,Success,2025-01-03 21:20:30
429,429,145.72,UPI,Success,2025-01-03 21:18:00
430,430,120.22,UPI,Success,2025-01-03 21:32:18
431,431,199.22,Card,Success,2025-01-03 21:38:00
432,432,55.33,UPI,Success,2025-01-03 21:57:18
433,433,122.72,Wallet,Success,2025-01-03 21:50:42
434,434,51.78,Wallet,Success,2025-01-03 22:11:00
435,435,263.67,UPI,Success,2025-01-03 22:36:30
436,436,49.76,Wallet,Success,2025-01-03 23:15:54
437,437,133.98,Card,Success,2025-01-03 23:23:48
438,438,0.0,Wallet,Not_Applicable,
439,439,34.65,UPI,Success,2025-01-04 00:27:24
440,440,113.61,Wallet,Success,2025-01-04 01:42:24
441,441,100.57,Wallet,Success,2025-01-04 02:18:12
442,442,497.15,Wallet,Success,2025-01-04 04:00:36
443,443,0.0,UPI,Not_Applicable,
444,444,71.57,Card,Success,2025-01-04 04:52:06
445,445,240.76,UPI,Success,2025-01-04 04:54:18
446,446,68.24,Card,Success,2025-01-04 05:28:00
447,447,0.0,UPI,Not_Applicable,
448,448,123.64,Cash,Success,2025-01-04 06:15:00
449,449,60.91,UPI,Success,2025-01-04 06:19:00
450,450,68.96,Card,Success,2025-01-04 06:29:42
451,451,129.53,Card,Success,2025-01-04 06:41:12
452,452,53.94,Wallet,Success,2025-01-04 06:45:24
453,453,55.2,Card,Success,2025-01-04 06:41:18
454,454,26.45,Card,Success,2025-01-04 06:42:00
455,455,222.48,Card,Success,2025-01-04 07:19:30
456,456,0.0,Card,Not_Applicable,
457,457,124.97,UPI,Failed,2025-01-04 07:42:00
458,458,190.32,Card,Success,2025-01-04 07:50:30
459,459,81.55,Cash,Success,2025-01-04 07:47:42
460,460,50.02,UPI,Success,2025-01-04 07:41:36
461,461,151.88,Wallet,Success,2025-01-04 08:11:48
462,462,67.46,UPI,Success,2025-01-04 08:08:00
463,463,75.11,Card,Success,2025-01-04 07:54:12
464,464,311.61,UPI,Success,2025-01-04 08:51:12
465,465,0.0,Card,Not_Applicable,
466,466,63.95,Card,Success,2025-01-04 08:23:24
467,467,57.43,Card,Success,2025-01-04 08:40:48
468,468,100.29,Wallet,Success,2025-01-04 08:45:24
469,469,70.28,Wallet,Success,2025-01-04 08:48:06
470,470,261.42,Wallet,Success,2025-01-04 09:04:18
471,471,128.2,Cash,Success,2025-01-04 09:16:30
472,472,171.08,Wallet,Success,2025-01-04 09:13:48
473,473,110.88,UPI,Success,2025-01-04 09:15:36
474,474,350.85,UPI,Success,2025-01-04 09:20:48
475,475,0.0,Card,Not_Applicable,
476,476,198.83,Wallet,Success,2025-01-04 09:50:30
477,477,0.0,Card,Not_Applicable,
478,478,269.73,Card,Success,2025-01-04 09:31:54
479,479,87.25,Cash,Success,2025-01-04 09:36:48
480,480,0.0,Card,Not_Applicable,
481,481,0.0,Cash,Not_Applicable,
482,482,224.49,Card,Success,2025-01-04 11:03:06
483,483,42.26,Wallet,Success,2025-01-04 11:11:54
484,484,235.12,Card,Success,2025-01-04 11:24:42
485,485,274.23,Wallet,Success,2025-01-04 11:59:36
486,486,72.75,Wallet,Success,2025-01-04 12:41:30
487,487,126.87,Card,Success,2025-01-04 12:46:24
488,488,0.0,UPI,Not_Applicable,
489,489,70.35,Wallet,Success,2025-01-04 12:58:36
490,490,160.31,UPI,Success,2025-01-04 12:55:06
491,491,219.1,Card,Success,2025-01-04 12:54:48
492,492,40.52,UPI,Success,2025-01-04 13:00:30
493,493,76.58,Card,Success,2025-01-04 13:06:42
494,494,91.41,UPI,Success,2025-01-04 12:57:06
495,495,234.43,Wallet,Success,2025-01-04 13:07:18
496,496,109.19,Cash,Success,2025-01-04 13:20:54
497,497,297.85,Cash,Success,2025-01-04 13:48:24
498,498,224.05,UPI,Refunded,2025-01-04 13:43:06
499,499,240.2,Wallet,Success,2025-01-04 15:06:36
500,500,47.79,UPI,Success,2025-01-04 14:22:30
501,501,504.26,Card,Success,2025-01-04 14:38:00
502,502,155.7,UPI,Success,2025-01-04 14:42:48
503,503,100.14,UPI,Success,2025-01-04 14:40:06
504,504,225.27,Cash,Success,2025-01-04 14:43:42
505,505,138.97,Card,Success,2025-01-04 15:16:36
506,506,235.15,Cash,Success,2025-01-04 15:48:54
507,507,56.57,Cash,Success,2025-01-04 15:29:18
508,508,57.08,Wallet,Success,2025-01-04 15:31:00
509,509,346.7,Wallet,Success,2025-01-04 16:35:24
510,510,0.0,Card,Not_Applicable,
511,511,0.0,Card,Not_Applicable,
512,512,66.58,Wallet,Success,2025-01-04 16:24:48
513,513,73.11,UPI,Success,2025-01-04 16:22:18
514,514,127.54,UPI,Success,2025-01-04 16:44:36
515,515,297.72,UPI,Success,2025-01-04 16:56:36
516,516,122.11,Cash,Failed,2025-01-04 16:56:42
517,517,73.31,Cash,Success,2025-01-04 16:53:00
518,518,207.39,UPI,Success,2025-01-04 16:53:06
519,519,40.21,UPI,Success,2025-01-04 17:08:24
520,520,45.35,UPI,Success,2025-01-04 16:55:36
521,521,91.92,Cash,Success,2025-01-04 17:15:00
